Name,UserRating,Holds,Grade
+TAX,0,G4 G8 B10 D12 G14 C17 A18,6
BELLA CIAO,0,E4 G4 F6 J7 H9 J11 H13 H15 H18,5
PP1,0,C4 H5 I8 D9 F12 E14 C14 C16 H18,4
ZICK ZACK,0,D4 G5 I7 D10 E15 J13 A1 H18,0
WE ARE HERE TO TRAIN,0,C4 F5 C7 F9 D12 E13 H14 G16 H18,3
CONFLUX,0,G6 K5 G8 F10 E13 I12 F16 D18,4
FISCHAA,2,H5 E3 F8 I7 J11 D10 E13 A14 C16 B18 E18,2
SMZ12.1,2,D5 F5 F8 I8 I7 H10 F12 D12 E13 D15 C16 D9 F18 B18,2
GUACAMOLE ON YER DORITOS,0,B2 F4 B8 G10 C13 H15 H18,4
FOUR LOKO,0,B2 C4 C2 A8 D11 F10 F14 H13 J16 H6 I18,4
JUMP HARD,0,F5 D9 G13 D16 H18,4
ERA CHULO DEIA OSKAR,0,A5 D5 E7 H9 H12 J14 K5 H18,7
HAIDANEI,1,F5 F4 H2 I7 H10 G13 E16 H18,2
SHOULDER  RIP,0,B4 E1 F6 G8 I10 H11 J14 I16 J18,9
IT’S NICE VERSION 1,0,D5 F5 G8 D11 G13 H15 C2 J18,4
WARM-UP DISASTER,0,H5 B5 G10 J11 J16 F18,6
ARROWHEAD,0,F5 H10 K15 I18,2
JON'S ROUTE,1,H5 E3 F8 I7 H10 D10 E13 G13 E16 C16 B18 D18,2
LOW HANGING MOON JUGS,2,J1 F5 I8 F11 F12 D15 H15 F18,2
SUNSHOT,3,G6 K5 G8 D9 C13 F13 D15 B18,5
STAKE YOUR CLAIM,0,F4 H5 J7 C7 A9 A13 B14 B16 E12 E18,6
SAGGY MOON JUGS,0,J1 F4 I8 F11 F12 D15 H15 F18,2
MOVE BIC... EPS,3,F5 H5 I8 H10 G13 E13 H16 F18,2
THE PINCH ATTACK,2,F5 B3 B8 E11 E13 H15 F18,2
TRAININGSBOULDER #13,2,J4 H6 I10 H13 J14 H18,8
WICKED GNAR,0,F4 J4 G8 E12 E14 C17 F18,7
EVERY NAME ALREADY EXISTS,2,B4 F3 E8 E12 J13 H16 J18,9
ENTER THE MYSTERY,0,F6 E6 G7 F4 A4 B2 D1 B8 B11 G14 G15 C17 F18,2
GHOSTS,0,J3 J1 G4 F7 D11 H12 H14 H15 C15 B16 B18,7
ELBOW HITTER,2,B4 F5 E9 F11 F13 I14 F16 H18,6
KLEINE WAGEN,2,F5 B4 D9 G10 E13 E16 B18,0
SHORTIE123,2,A3 C4 D5 D7 B7 G8 I7 H10 J13 H15 H18,4
BRILAD,0,G1 H2 G8 B10 B14 C15 G16 K18,13
NATHDOG,2,F5 H5 I7 F8 F12 C14 C10 F18,3
DYNO KING,0,H5 F5 J2 I9 G13 E13 B18,2
BIGWILLY SCHLOGDEN,0,F5 A5 A4 A7 A8 A10 A12 A13 A14 F12 H10 I7 F18 H18,5
MULE DEER,0,H5 G6 C10 F13 F15 H18,6
EGG BOY,0,H4 D5 I8 E13 J18,3
HEFTY SWING,0,D4 H5 D5 D10 E13 B18,2
ELIO BOULDER 2,2,A6 D5 D8 C10 F10 D13 D15 D18,6
LIFE SPAN ROUND,0,H5 H9 F11 E15 K13 J18,6
K-TOWN WARM UP,2,G6 H5 H10 G13 E13 F18,4
HUMIDITY WARM UP,2,F5 D6 D10 E11 C13 E16 B18,4
STRETCH ARMSTRONG 2,0,F5 I8 D10 G13 F18,2
FORABBY,3,F5 H5 I7 F8 F9 E10 D10 H10 F12 G13 E16 F18 H18,2
CALTON HILL,0,E4 G7 J6 G11 J14 E15 J18,7
CONTROL FOR A TIME,0,F5 G10 H11 E14 F16 C18,6
PC WUP2,2,D2 H5 E6 I8 H10 J11 E13 D15 C16 B18,2
NUMBER MYSTICISM,0,D5 F3 G10 D12 B13 D18,6
EDINBURGH'S CHRISTMAS,0,H5 C2 D10 J9 E16 H18,3
TICKET TO THE MOON,2,E4 H5 G8 F10 F11 C13 D15 A9 I1 A18,1
JUNKAI,0,B4 F4 D9 E11 I12 K13 I16 H18,5
NI PATRIA,0,D5 B4 B8 D10 B13 D15 D18,2
PC WUP,3,F5 D2 D9 H10 E13 E16 C16 F18,2
BERMEO,0,F5 F8 D9 F12 E14 C13 A16 D18,2
UOENO,2,A5 C4 A8 D10 C13 C14 A18,3
OVIEDO,0,E4 I3 J1 G7 D10 G14 E18 F18,6
MOON,2,K4 I7 D9 C13 G15 H16 K18,4
FIRST TRY TO SUCCESS,3,F5 H5 I7 E7 F9 H10 J9 D10 E13 G13 C14 C16 B18 A18,2
LL,0,D4 F4 G7 I8 I13 G16 E11 E18,3
FCK THAT YELLOW CRIMP,0,K2 K6 H9 K12 H14 I17 F18,9
NI DIOS,3,F5 J4 I7 F10 G13 D16 H18,3
ANARKO BLOKE,2,A4 D5 B8 E10 B13 D15 B18,3
GO BIG OR EAT CHROME,2,G6 H5 I12 K11 F13 H16 E18,9
JUDGEMENT JUGS,2,H5 G6 I8 H10 G13 E13 C16 F18,2
JUST GO WILD,2,G4 D4 D6 C8 E11 E14 H14 G17 C13 H10 H18 F18,2
LADDER’N’FALL,2,D5 H5 H8 D8 D11 H11 H14 D14 F17 D18 H18,4
FOR JODY,2,F5 H5 I8 H10 J11 G13 E13 E16 F18 H18,2
STORK BENCH 1,2,F5 J4 J9 F8 F12 G14 G16 J18,4
DANIEL DID IT,0,G4 J4 K8 H9 I12 H14 H17 D18,6
COORDINATION TO SWITCH,0,H5 E2 I10 K11 J14 E15 F18,8
BLACK BLOC,2,F5 F8 G11 I10 J14 H16 G17 C16 B18,3
WOES,2,G4 D5 F7 G10 D12 E14 F18,6
GASTON LEFT,2,H6 K5 H10 G13 D17 F18,2
VERE Y CARLI,0,I3 F5 F9 I8 F12 D14 F18,2
JUMPING 4,2,F5 D5 C7 F12 D15 F18,4
WINTERS GAME,0,F4 H4 H10 G13 C14 F18,4
AURRERA,2,F5 I8 H10 K13 J16 J18,2
JUMPING 2,2,H5 D10 G13 C16 H18,3
BEBOTHERMENT,2,H5 D4 F8 I8 H10 J11 G13 K15 H18,2
MUSSBOULDER 6B+,2,D4 F5 G8 D10 D12 B13 C14 C16 A16 A6 B18 A18,2
ARIZ PLANET,0,J3 H6 E8 C12 D14 A16 H12 F18,7
JUMPING 1,0,H5 F8 G13 C16 H18,4
B#2,0,F3 B3 E6 E7 H8 H9 J11 J14 K14 J16 K4 J18,2
JUMPING 3,0,H5 H10 J16 J18,4
NUSSBOULDER,0,F5 D4 C8 H8 F12 D14 C16 F18,2
B#3,2,K4 H5 I7 G8 G10 E11 G13 H15 G16 D2 H18,3
B#4,0,I3 E3 F6 H5 H8 D10 E11 C13 C14 E16 B6 E18,2
FINE AND DANDY,3,D5 E6 B8 G10 F13 F14 I16 H18,2
B#1,2,H5 F5 F8 F9 D11 F13 F14 H16 G17 C4 H18,2
